subject,frontal_abs_delta,frontal_rel_delta,frontal_abs_theta,frontal_rel_theta,frontal_abs_alpha,frontal_rel_alpha,frontal_abs_beta,frontal_rel_beta,frontal_abs_gamma,frontal_rel_gamma,frontal_theta_beta_ratio,frontal_peak_alpha_freq,frontal_spectral_entropy,posterior_abs_delta,posterior_rel_delta,posterior_abs_theta,posterior_rel_theta,posterior_abs_alpha,posterior_rel_alpha,posterior_abs_beta,posterior_rel_beta,posterior_abs_gamma,posterior_rel_gamma,posterior_theta_beta_ratio,posterior_peak_alpha_freq,posterior_spectral_entropy,central_abs_delta,central_rel_delta,central_abs_theta,central_rel_theta,central_abs_alpha,central_rel_alpha,central_abs_beta,central_rel_beta,central_abs_gamma,central_rel_gamma,central_theta_beta_ratio,central_peak_alpha_freq,central_spectral_entropy,left_temporal_abs_delta,left_temporal_rel_delta,left_temporal_abs_theta,left_temporal_rel_theta,left_temporal_abs_alpha,left_temporal_rel_alpha,left_temporal_abs_beta,left_temporal_rel_beta,left_temporal_abs_gamma,left_temporal_rel_gamma,left_temporal_theta_beta_ratio,left_temporal_peak_alpha_freq,left_temporal_spectral_entropy,right_temporal_abs_delta,right_temporal_rel_delta,right_temporal_abs_theta,right_temporal_rel_theta,right_temporal_abs_alpha,right_temporal_rel_alpha,right_temporal_abs_beta,right_temporal_rel_beta,right_temporal_abs_gamma,right_temporal_rel_gamma,right_temporal_theta_beta_ratio,right_temporal_peak_alpha_freq,right_temporal_spectral_entropy,occipital_abs_delta,occipital_rel_delta,occipital_abs_theta,occipital_rel_theta,occipital_abs_alpha,occipital_rel_alpha,occipital_abs_beta,occipital_rel_beta,occipital_abs_gamma,occipital_rel_gamma,occipital_theta_beta_ratio,occipital_peak_alpha_freq,occipital_spectral_entropy,prefrontal_abs_delta,prefrontal_rel_delta,prefrontal_abs_theta,prefrontal_rel_theta,prefrontal_abs_alpha,prefrontal_rel_alpha,prefrontal_abs_beta,prefrontal_rel_beta,prefrontal_abs_gamma,prefrontal_rel_gamma,prefrontal_theta_beta_ratio,prefrontal_peak_alpha_freq,prefrontal_spectral_entropy
19011,9.208582884480795e-12,0.24595590673032935,3.4260579344164275e-12,0.09150801989198179,2.0245442244861876e-11,0.5407440175060415,2.425293552984458e-12,0.06477818383074126,5.279505360466217e-13,0.014101252541360139,1.4126363920773521,10.0,0.7065058477181642,1.4013697798746486e-11,0.173398054161802,5.719689245898529e-12,0.0707723971140368,5.34536154547829e-11,0.661406649471324,4.321197922415355e-12,0.053468208188553,3.695836191861462e-13,0.004573031425202173,1.323635100403242,10.0,0.6710760666928688,5.202647073717874e-12,0.21270302474791075,2.8796763051013634e-12,0.11773158004204892,1.238601536379149e-11,0.5063850949570308,2.1585949964093807e-12,0.08825116876780074,4.3299965851967705e-13,0.01770259173396741,1.334051227715914,10.0,0.7610609999720408,4.4961740992198335e-12,0.1914538127575121,2.5866702000004524e-12,0.1101442829409684,1.136065230211903e-11,0.4837535537225981,2.808645637974641e-12,0.11959632883617766,7.629289189606479e-13,0.03248665358028018,0.9209670899835344,10.0,0.8022017849657176,9.33809128251297e-12,0.18867715047967454,3.898078564371031e-12,0.07876110155923667,3.027759288726722e-11,0.6117620589178799,3.465449173356085e-12,0.07001977763757865,3.722836110213276e-13,0.007522030870411989,1.1248407837983005,10.0,0.7082554478717962,1.707008223948e-11,0.15175571262687984,7.742347103405422e-12,0.06883068198491238,7.860171717180344e-11,0.6987816131029289,4.845786892454741e-12,0.04307980669253438,4.446170434366959e-13,0.003952715360488362,1.597748162524614,10.0,0.6524568351092909,1.2265389008941621e-11,0.33880969054883187,3.107767507613324e-12,0.08584658397581822,1.5531573490779897e-11,0.42903226341303424,2.838000383929777e-12,0.07839474403589952,9.17246094316203e-13,0.02533730199228421,1.0950553513703196,10.0,0.7135142656813414
19014,1.4297597241998185e-11,0.595996273549633,3.2698092743348932e-12,0.13630221286393357,1.7326128959835315e-12,0.07222408157343686,2.8441349383336393e-12,0.118557950404418,4.285294033170639e-13,0.01786327612678812,1.1496674191733862,8.0,0.6461515218282614,8.188130203800683e-12,0.43657636238528985,3.848226615772058e-12,0.20518051566500412,1.9338745267000346e-12,0.103110708447746,3.0466055092874538e-12,0.16243952132689815,4.3263238697764383e-13,0.02306718005889718,1.2631194304746363,8.0,0.7546465417638206,5.60663384674691e-12,0.3426173949761789,5.517061701718556e-12,0.3371437050882884,1.7320454011686146e-12,0.10584405893978287,1.772690573379085e-12,0.10832785642001061,2.3337148596842597e-13,0.014261165035882421,3.1122530827261006,8.0,0.7241859485001407,1.90817327657306e-11,0.6097684592320596,4.157011311540285e-12,0.1328398428784468,2.3260656588900464e-12,0.07433085298423542,3.5324832840016054e-12,0.11288266719766069,5.452640856734559e-13,0.017424247864575457,1.1767957488623169,8.0,0.6024947237006352,6.282165821312147e-12,0.3251377401067866,3.3668182383423718e-12,0.17425195458089754,2.503540614836281e-12,0.12957243742467872,4.578910058738056e-12,0.2369845863666436,1.0938500713041496e-12,0.05661295010598655,0.7352881352009487,8.0,0.8456091813424974,1.461193705720572e-11,0.353341398137152,6.957280330146494e-12,0.16823882757377379,5.799874078255592e-12,0.14025078316496367,8.89156857483552e-12,0.2150131950038357,2.0504586750505656e-12,0.04958356528832253,0.7824581536531863,8.0,0.8430289331233194,2.992081111745165e-11,0.6753929207381429,5.136127190854192e-12,0.11593615998900274,2.2167527514861202e-12,0.050038052427906245,3.9931074483355925e-12,0.09013514011254871,8.861277594112502e-13,0.02000227912360431,1.2862481807232693,8.0,0.5828982518329747
19015,6.643121187997649e-11,0.6110912040835462,2.4469224000469272e-11,0.22508888720038303,6.207608810013779e-12,0.057102904415542506,6.4883270455516396e-12,0.05968519126096353,1.0664810691143043e-12,0.009810406617823671,3.7712685918391298,10.0,0.5873902414522526,2.1354155295196643e-11,0.4750019929243624,4.983064745889887e-12,0.11084333013637153,9.581564917818825e-12,0.21313240296242708,5.416563322733847e-12,0.12048607577928036,1.4475096973870457e-12,0.03219841672645548,0.9199679665841763,11.0,0.721872578132978,1.183747747407059e-11,0.4265268955250217,6.8535917668498935e-12,0.24694798582836158,3.8833157467426476e-12,0.13992327448391778,3.1020336594415885e-12,0.11177219044124309,6.225086799868246e-13,0.022430175288084876,2.209386653813305,10.5,0.7486343990315609,1.3770412011289091e-11,0.4982910316739293,4.017107064836539e-12,0.14536154924348155,3.2663614109440493e-12,0.11819534491378351,3.75522730985173e-12,0.1358852653691198,1.3702003576233872e-12,0.049581562936563815,1.069737390942427,11.0,0.741544728408637,1.7418716121865784e-11,0.4130506330493284,4.126731811717608e-12,0.09785733778134384,6.929107613023669e-12,0.16431017452736232,7.407634182597281e-12,0.17565749203976994,3.997714523114104e-12,0.0947979462418555,0.5570917394129045,10.0,0.8034550720409217,2.3701878408144564e-11,0.5176784630192165,5.115610091515747e-12,0.11173127817040286,6.4147358640832465e-12,0.14010579860420516,5.761284084256082e-12,0.12583360012217018,2.528156559699883e-12,0.05521807932520903,0.8879288048814024,11.0,0.7056053084318472,1.9866837616918632e-10,0.8419351210349294,1.528942459291102e-11,0.06479493009106065,5.759443788239154e-12,0.024407900726059802,6.23132160626375e-12,0.026407667953703036,2.461546026618799e-12,0.010431766201629574,2.453640745735548,10.0,0.4428374576223318
19016,1.8769893739247904e-11,0.47540608950945823,4.495235470693032e-12,0.11385585588467022,9.98460887776478e-12,0.2528913550498221,3.6257701252600997e-12,0.09183393473911006,4.478157882213496e-13,0.011342331270301481,1.2398015636389965,9.5,0.7150649387472225,1.4780607466795996e-11,0.27195510290762126,6.292236528714968e-12,0.11577371474954082,2.3918759448871195e-11,0.44009210730703896,5.371220398202886e-12,0.09882752108898432,4.977375129664914e-13,0.009158098330117432,1.1714724145038318,10.0,0.7723628028427597,1.0003146530222173e-11,0.35784705308940457,3.87778807141299e-12,0.13872185413538712,8.16422573062866e-12,0.2920625134936685,3.5636176948589432e-12,0.12748289616569342,4.570712889586251e-13,0.016351016483809013,1.0881605164906676,9.5,0.7859472170353143,1.2143013324313204e-11,0.35304824981691507,4.847205301844181e-12,0.1409285572381721,1.0003719211178584e-11,0.2908500110178545,4.111218078591807e-12,0.11953032649287576,7.815701482633542e-13,0.0227235172674185,1.179019261246406,10.0,0.7880145496704867,1.574914253881706e-11,0.2779085289235454,6.50186742680136e-12,0.11473160569756354,2.382733423720815e-11,0.42045586861070594,5.874717017728521e-12,0.10366494304150736,1.2989345986612692e-12,0.022920930621595816,1.1067541478475043,9.0,0.7782811312835498,1.671309210088951e-11,0.266707342448648,7.345863364003432e-12,0.11722520787759962,2.7674883728807335e-11,0.4416354943375616,6.3730008626555985e-12,0.10170027863433796,6.386965617935514e-13,0.010192312804761043,1.1526537532810637,10.0,0.7761455093180034,3.8165690908841623e-11,0.6277571366288348,5.989990643523372e-12,0.09852459854042957,9.062493367486432e-12,0.14906175550913822,3.744463650109415e-12,0.06158970853738399,7.419101070748451e-13,0.012203090088574862,1.5996925603345997,9.5,0.6147492112684976
19018,1.7799303009245327e-11,0.5238703311497637,3.234336204495216e-12,0.09519320939805824,8.434989277141885e-12,0.2482591943946225,2.5309105614507397e-12,0.07448993667049487,5.560502630898019e-13,0.01636571023648855,1.2779338210360411,9.5,0.6902916658082224,9.60058393457365e-12,0.23803106099870552,3.374175010153701e-12,0.08365725076053622,1.958189584236398e-11,0.48550166067904205,4.6148884691443556e-12,0.11441874850395807,1.4450744064229114e-12,0.035828299250028436,0.7311498496039072,9.5,0.7773587485738929,4.74301296338788e-12,0.2525518923756217,2.1656410530692063e-12,0.11531420014679689,7.806598977470064e-12,0.4156790968096758,2.470089968297094e-12,0.13152523525592028,6.350311774299913e-13,0.03381359629742759,0.8767458193282821,10.5,0.8159153241957209,5.345658039718737e-12,0.17940684647628657,2.3177008309801485e-12,0.07778488524183551,1.160130149967955e-11,0.38935392081077325,6.030762792837471e-12,0.20239980306829,3.0366555348515474e-12,0.1019138877374098,0.38431304804970967,9.5,0.8888838009741205,6.472449395406203e-12,0.16577796669469128,2.7348577187875366e-12,0.07004753905710931,9.91902433859401e-12,0.25405462229095915,1.1415916119295494e-11,0.2923943080276777,6.482211882055737e-12,0.16602801193842734,0.23956533056203919,10.5,0.9477973449336278,9.832739299164306e-12,0.20700378055493424,3.4542240957520052e-12,0.07272006558389948,2.357247780820383e-11,0.4962596764627131,6.2711234357242694e-12,0.13202284938357947,2.3472028088876445e-12,0.04941449583741111,0.5508142410456425,9.5,0.7922105889909987,2.7229231100678487e-11,0.6088029676639004,4.061643091248317e-12,0.09081197917050031,7.269702348464855e-12,0.16253916048581885,3.133045118078658e-12,0.07004998263295266,1.0851009977061955e-12,0.024261159089509883,1.2963883181290163,9.5,0.6565996035364398
19019,9.308813361946048e-12,0.2798017622446507,5.942184714978215e-12,0.17860856053155963,1.0752041778471457e-11,0.3231819266720688,4.811002744749344e-12,0.14460780271389004,5.785223277772914e-13,0.01738906566455465,1.2351239502956897,10.5,0.805700987905086,7.813045366348677e-12,0.21246999627747468,4.039792221362371e-12,0.10985916476711376,1.6392853671826565e-11,0.4457915441822023,6.438132536831705e-12,0.1750802576964679,4.974704723539193e-13,0.013528341952862247,0.627478884327288,10.5,0.790532199300948,7.39665608433681e-12,0.2609265965346987,4.65464262591476e-12,0.16419853033820833,8.42889434465697e-12,0.2973401343560109,5.565083521162504e-12,0.19631550879906343,4.795564479686572e-13,0.016916973073779217,0.8364012163006028,10.5,0.8325956329020123,4.363909103107048e-12,0.2571380508375296,2.522134410845522e-12,0.14861371101733734,4.649278616080022e-12,0.2739531032596986,4.0051985481343764e-12,0.23600146647218412,3.943569603947264e-13,0.023237005568680226,0.6297152015148746,10.5,0.8554361818890345,9.699529898182525e-12,0.20639243555096978,4.879007545586922e-12,0.10381845934553298,1.768250162644112e-11,0.3762589131251617,1.1348036907585905e-11,0.24147035997258143,1.205830678169218e-12,0.025658390988212328,0.42994286900189904,10.5,0.832848153012672,6.946252542419716e-12,0.249577552696435,4.0890543671438965e-12,0.14691895746118977,9.992025739255726e-12,0.35901161313298935,4.899622908730267e-12,0.17604253332694342,4.3707549871110763e-13,0.015704040796923394,0.8345651172170658,10.5,0.8129351629903572,1.1552717356962297e-11,0.38800480002622595,4.333977750756002e-12,0.14555918911032378,6.8164140890466585e-12,0.22893327204292732,4.530926964554035e-12,0.15217384416972202,8.361956048172622e-13,0.028084120679573353,0.9565322470790658,10.5,0.7751860519810817
19021,2.4167041252540642e-11,0.5266388227298197,4.030492445492054e-12,0.08783093363951701,7.45451518412796e-12,0.16244591381983908,6.100159703577379e-12,0.13293232262837068,2.04206451618728e-12,0.044499880705510426,0.660719168242171,10.5,0.7057513621528607,1.3375399213242255e-11,0.3845206407394,3.7844072814174046e-12,0.10879546019297681,1.1999524349253523e-11,0.34496651036590087,3.31538511015076e-12,0.09531184725992273,5.09372436071122e-13,0.014643616416259365,1.1414683832145571,10.5,0.7417949247151968,7.927306990015413e-12,0.35483803105345496,3.2088576609628957e-12,0.14363323330116864,6.17662562935352e-12,0.27647493400149614,3.224505932079243e-12,0.14433367315032664,4.559851312269121e-13,0.020410571504042914,0.9951470794453595,10.5,0.7935131005831769,1.0552297524282601e-11,0.2943946669590673,3.930964265105977e-12,0.10966852602391391,9.86958215195645e-12,0.2753478419239234,6.5684118601685076e-12,0.18324970629140394,2.8033391209525798e-12,0.07820932692496903,0.5984649484213572,10.5,0.8549928821774794,9.079875341086588e-12,0.3110820079539837,3.2792147809089983e-12,0.11234787706187584,1.1085755493261814e-11,0.3798046723093116,3.4444108045335507e-12,0.11800759251001652,6.370357244768493e-13,0.021825228305938832,0.9520393957053205,10.5,0.7849522394990743,1.5227847971167567e-11,0.3659903888969503,4.7199338678515284e-12,0.11344022051793697,1.441078242826039e-11,0.3463528054137756,4.234021831362201e-12,0.10176167371728864,8.316633977969608e-13,0.019988432440840222,1.1147637059615718,10.5,0.7576573752822938,5.1910171671792906e-11,0.64807078576027,5.202969437609253e-12,0.0649562962927038,7.059798176220388e-12,0.08813781199375574,9.009340794695915e-12,0.11247681099797405,3.900377514126822e-12,0.0486941313992105,0.5775083389755227,10.5,0.6039415549006611
19022,8.356682498594281e-12,0.4417670759239542,4.914329415118282e-12,0.25979076460175105,2.0346362569235007e-12,0.10755886800068708,1.8661281164508214e-12,0.09865086551303476,3.4997836377677307e-13,0.018501231610549104,2.6334362425581035,8.0,0.7440234247015504,4.078124536557936e-11,0.7731152926878422,4.370625337929764e-12,0.08285664787997002,2.9346365724316157e-12,0.05563372065490827,2.2262919478257385e-12,0.042205193476131844,4.0625602700831703e-13,0.007701646784230639,1.9631860691937746,8.0,0.5459732436194281,3.0628075592840984e-12,0.3477442784146982,2.338543916315888e-12,0.2655130141152035,1.3263066726934383e-12,0.150585875189685,1.1059516342729472e-12,0.1255672599657864,2.0625193249305676e-13,0.023417380311415843,2.114508305648689,8.0,0.796524112050875,3.5855423108061237e-12,0.3195499066132009,2.436402703934581e-12,0.21713654142862604,2.0925711687569667e-12,0.18649366360633696,1.8527541410659006e-12,0.16512074365166868,2.949073975902318e-13,0.026282671682742904,1.3150167363991987,8.0,0.8269679535365849,5.1525056503291e-12,0.33278487932085077,3.046322860498117e-12,0.1967528527481505,3.0786979752253755e-12,0.19884386426345493,2.4494573948340746e-12,0.15820310327837453,4.776280755291569e-13,0.030848564225265513,1.2436725239323765,8.5,0.8311257036172863,2.3076961034485764e-11,0.6659820150364415,4.121053233106404e-12,0.11893018895145017,2.916565802810983e-12,0.08416967760355358,2.3446806435067873e-12,0.06766554475028547,4.0283607660417986e-13,0.011625516099165362,1.7576181406704543,8.0,0.625169199897421,2.0116449046175234e-11,0.5571268685214499,5.935859232479948e-12,0.16439415617461867,3.0413060944704033e-12,0.08422924626201132,3.5067585379705117e-12,0.09711999361496805,1.2785086637505743e-12,0.03540841261685444,1.6926911756847807,8.0,0.7039992699390046
19024,1.7062089435986972e-11,0.14950947092812236,8.952580535175142e-12,0.07844851501201942,6.753273468821148e-11,0.5917671145403709,1.3619378847510218e-11,0.11934213177702326,1.9930511669342044e-12,0.017464451034497397,0.6573413248440313,10.0,0.7628612813126366,1.4940794391046874e-11,0.09606350139960085,9.870085564087803e-12,0.06346081430369603,1.0464233523366738e-10,0.6728095477440381,1.767145298432698e-11,0.11362057492138,1.5972998866563862e-12,0.010270017502506213,0.5585327688018467,10.0,0.7245514613980294,1.776407939919903e-11,0.14855775156290207,1.0633294682857241e-11,0.08892430135514139,6.84776979311528e-11,0.5726664809499973,1.509329758701807e-11,0.1262224910624009,1.6983608318573462e-12,0.014203081446179731,0.7045044081025122,10.0,0.7810852210645131,1.4406068042384588e-11,0.10583563513956443,9.291966504981206e-12,0.0682643712258534,6.776085999076481e-11,0.4978120076641411,2.9005414992040605e-11,0.21309121330938313,9.574129121492341e-12,0.07033730741102459,0.3203528205864671,10.0,0.8553455132253331,2.173526536269988e-11,0.10690123263601146,1.2766622101544154e-11,0.06279047513242278,1.329339632132587e-10,0.6538132518535923,2.3484378307677173e-11,0.11550394931406771,3.810900750882747e-12,0.01874327186370559,0.5436218891675184,10.5,0.7482533910669865,1.9413569727126784e-11,0.08890336425212861,1.3437999194592755e-11,0.06153857090730445,1.472461214057373e-10,0.6743054342940175,2.3662078069445137e-11,0.10835917222533006,4.908869691939554e-12,0.022479896094479174,0.5679128923146127,10.0,0.7412293956978517,2.331400507362619e-11,0.2226652174732919,8.428422620629247e-12,0.08049738986727112,4.328644303329951e-11,0.4134161085243245,1.7743973014902526e-11,0.16946747664016754,7.0516752600881415e-12,0.067348480039356,0.47500199721621067,10.0,0.8323070481102344
19025,4.114161600589095e-11,0.736475664974077,3.505778164356721e-12,0.06275690056697135,2.6425999330489682e-12,0.04730515550662905,4.609354652210007e-12,0.08251201246206873,1.593366656637732e-12,0.028522840907045773,0.7605789592857292,12.5,0.5434008995964423,1.1821099495474996e-11,0.3321041957944071,3.30713097628613e-12,0.0929111605639307,5.053551088913606e-12,0.1419754161558358,9.126050049260537e-12,0.2563889690252028,2.922595379004956e-12,0.08210794506453735,0.36238361157728904,12.5,0.8415231790403114,5.421853089837723e-12,0.388063166511196,2.3792720166440486e-12,0.17029377548073757,1.6952017657435714e-12,0.12133220029934644,2.6790290460535027e-12,0.19174855488718293,6.42666197395278e-13,0.0459981256294765,0.8881098247699,12.5,0.8211141175113561,1.1184349718540028e-11,0.315277188885808,3.274962417670673e-12,0.09231837082475114,4.2363973609063886e-12,0.11942039408297156,9.797804299879673e-12,0.2761916673437656,4.522596343661529e-12,0.1274880969906733,0.33425472865495925,12.5,0.8702070895772775,8.781386797152147e-12,0.3150469908067814,2.6863957728658954e-12,0.0963789574366467,3.4386597071861813e-12,0.12336768874693772,7.953090416276881e-12,0.2853304678567243,2.62982198831766e-12,0.09434927795751785,0.3377801121646861,12.5,0.8604134669003257,1.5516653512647678e-11,0.1452158798355298,4.7823461252880865e-12,0.04475659649780021,1.2911936025595715e-11,0.12083908097893802,4.0852046656466107e-11,0.3823225087461899,2.3633068481646876e-11,0.22117506393877576,0.11706503141700322,12.5,0.9523159210989328,9.795891557938812e-11,0.8048100728803977,6.647243643928062e-12,0.054612371011681225,3.6206724179660736e-12,0.029746691409806267,6.448763964357705e-12,0.052981703252289375,2.7823984553957652e-12,0.022859606911987414,1.030777941426815,12.5,0.47943495954106835
